Unicode,Caractere,Nome,Origem
U+0020, ,SPACE,DejaVu Serif: base vetorial licenciada
U+0021,!,EXCLAMATION MARK,DejaVu Serif: base vetorial licenciada
U+0022,"""",QUOTATION MARK,DejaVu Serif: base vetorial licenciada
U+0023,#,NUMBER SIGN,DejaVu Serif: base vetorial licenciada
U+0024,$,DOLLAR SIGN,DejaVu Serif: base vetorial licenciada
U+0025,%,PERCENT SIGN,DejaVu Serif: base vetorial licenciada
U+0026,&,AMPERSAND,DejaVu Serif: base vetorial licenciada
U+0027,',APOSTROPHE,DejaVu Serif: base vetorial licenciada
U+0028,(,LEFT PARENTHESIS,DejaVu Serif: base vetorial licenciada
U+0029,),RIGHT PARENTHESIS,DejaVu Serif: base vetorial licenciada
U+002A,*,ASTERISK,DejaVu Serif: base vetorial licenciada
U+002B,+,PLUS SIGN,DejaVu Serif: base vetorial licenciada
U+002C,",",COMMA,DejaVu Serif: base vetorial licenciada
U+002D,-,HYPHEN-MINUS,DejaVu Serif: base vetorial licenciada
U+002E,.,FULL STOP,DejaVu Serif: base vetorial licenciada
U+002F,/,SOLIDUS,DejaVu Serif: base vetorial licenciada
U+0030,0,DIGIT ZERO,DejaVu Serif: base vetorial licenciada
U+0031,1,DIGIT ONE,DejaVu Serif: base vetorial licenciada
U+0032,2,DIGIT TWO,DejaVu Serif: base vetorial licenciada
U+0033,3,DIGIT THREE,DejaVu Serif: base vetorial licenciada
U+0034,4,DIGIT FOUR,DejaVu Serif: base vetorial licenciada
U+0035,5,DIGIT FIVE,DejaVu Serif: base vetorial licenciada
U+0036,6,DIGIT SIX,DejaVu Serif: base vetorial licenciada
U+0037,7,DIGIT SEVEN,DejaVu Serif: base vetorial licenciada
U+0038,8,DIGIT EIGHT,DejaVu Serif: base vetorial licenciada
U+0039,9,DIGIT NINE,DejaVu Serif: base vetorial licenciada
U+003A,:,COLON,DejaVu Serif: base vetorial licenciada
U+003B,;,SEMICOLON,DejaVu Serif: base vetorial licenciada
U+003C,<,LESS-THAN SIGN,DejaVu Serif: base vetorial licenciada
U+003D,=,EQUALS SIGN,DejaVu Serif: base vetorial licenciada
U+003E,>,GREATER-THAN SIGN,DejaVu Serif: base vetorial licenciada
U+003F,?,QUESTION MARK,DejaVu Serif: base vetorial licenciada
U+0040,@,COMMERCIAL AT,DejaVu Serif: base vetorial licenciada
U+0041,A,LATIN CAPITAL LETTER A,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0042,B,LATIN CAPITAL LETTER B,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0043,C,LATIN CAPITAL LETTER C,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0044,D,LATIN CAPITAL LETTER D,DejaVu Serif: base vetorial licenciada
U+0045,E,LATIN CAPITAL LETTER E,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0046,F,LATIN CAPITAL LETTER F,DejaVu Serif: base vetorial licenciada
U+0047,G,LATIN CAPITAL LETTER G,DejaVu Serif: base vetorial licenciada
U+0048,H,LATIN CAPITAL LETTER H,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0049,I,LATIN CAPITAL LETTER I,DejaVu Serif: base vetorial licenciada
U+004A,J,LATIN CAPITAL LETTER J,DejaVu Serif: base vetorial licenciada
U+004B,K,LATIN CAPITAL LETTER K,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+004C,L,LATIN CAPITAL LETTER L,DejaVu Serif: base vetorial licenciada
U+004D,M,LATIN CAPITAL LETTER M,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+004E,N,LATIN CAPITAL LETTER N,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+004F,O,LATIN CAPITAL LETTER O,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0050,P,LATIN CAPITAL LETTER P,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0051,Q,LATIN CAPITAL LETTER Q,DejaVu Serif: base vetorial licenciada
U+0052,R,LATIN CAPITAL LETTER R,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0053,S,LATIN CAPITAL LETTER S,DejaVu Serif: base vetorial licenciada
U+0054,T,LATIN CAPITAL LETTER T,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0055,U,LATIN CAPITAL LETTER U,DejaVu Serif: base vetorial licenciada
U+0056,V,LATIN CAPITAL LETTER V,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0057,W,LATIN CAPITAL LETTER W,DejaVu Serif: base vetorial licenciada
U+0058,X,LATIN CAPITAL LETTER X,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0059,Y,LATIN CAPITAL LETTER Y,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+005A,Z,LATIN CAPITAL LETTER Z,DejaVu Serif: base vetorial licenciada
U+005B,[,LEFT SQUARE BRACKET,DejaVu Serif: base vetorial licenciada
U+005C,\,REVERSE SOLIDUS,DejaVu Serif: base vetorial licenciada
U+005D,],RIGHT SQUARE BRACKET,DejaVu Serif: base vetorial licenciada
U+005E,^,CIRCUMFLEX ACCENT,DejaVu Serif: base vetorial licenciada
U+005F,_,LOW LINE,DejaVu Serif: base vetorial licenciada
U+0060,`,GRAVE ACCENT,DejaVu Serif: base vetorial licenciada
U+0061,a,LATIN SMALL LETTER A,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0062,b,LATIN SMALL LETTER B,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0063,c,LATIN SMALL LETTER C,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0064,d,LATIN SMALL LETTER D,DejaVu Serif: base vetorial licenciada
U+0065,e,LATIN SMALL LETTER E,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0066,f,LATIN SMALL LETTER F,DejaVu Serif: base vetorial licenciada
U+0067,g,LATIN SMALL LETTER G,DejaVu Serif: base vetorial licenciada
U+0068,h,LATIN SMALL LETTER H,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0069,i,LATIN SMALL LETTER I,DejaVu Serif: base vetorial licenciada
U+006A,j,LATIN SMALL LETTER J,DejaVu Serif: base vetorial licenciada
U+006B,k,LATIN SMALL LETTER K,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+006C,l,LATIN SMALL LETTER L,DejaVu Serif: base vetorial licenciada
U+006D,m,LATIN SMALL LETTER M,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+006E,n,LATIN SMALL LETTER N,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+006F,o,LATIN SMALL LETTER O,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0070,p,LATIN SMALL LETTER P,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0071,q,LATIN SMALL LETTER Q,DejaVu Serif: base vetorial licenciada
U+0072,r,LATIN SMALL LETTER R,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0073,s,LATIN SMALL LETTER S,DejaVu Serif: base vetorial licenciada
U+0074,t,LATIN SMALL LETTER T,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0075,u,LATIN SMALL LETTER U,DejaVu Serif: base vetorial licenciada
U+0076,v,LATIN SMALL LETTER V,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0077,w,LATIN SMALL LETTER W,DejaVu Serif: base vetorial licenciada
U+0078,x,LATIN SMALL LETTER X,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+0079,y,LATIN SMALL LETTER Y,Peregrini: contorno aprovado suavizado e ajustado às métricas
U+007A,z,LATIN SMALL LETTER Z,DejaVu Serif: base vetorial licenciada
U+007B,{,LEFT CURLY BRACKET,DejaVu Serif: base vetorial licenciada
U+007C,|,VERTICAL LINE,DejaVu Serif: base vetorial licenciada
U+007D,},RIGHT CURLY BRACKET,DejaVu Serif: base vetorial licenciada
