Unicode,Caractere,Nome,Origem
U+0020, ,SPACE,DejaVu Serif: base vetorial licenciada
U+0041,A,LATIN CAPITAL LETTER A,Peregrini Iluminada: desenho aprovado suavizado
U+0042,B,LATIN CAPITAL LETTER B,Peregrini Iluminada: desenho aprovado suavizado
U+0043,C,LATIN CAPITAL LETTER C,Peregrini Iluminada: desenho aprovado suavizado
U+0044,D,LATIN CAPITAL LETTER D,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0045,E,LATIN CAPITAL LETTER E,Peregrini Iluminada: desenho aprovado suavizado
U+0046,F,LATIN CAPITAL LETTER F,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0047,G,LATIN CAPITAL LETTER G,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0048,H,LATIN CAPITAL LETTER H,Peregrini Iluminada: desenho aprovado suavizado
U+0049,I,LATIN CAPITAL LETTER I,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+004A,J,LATIN CAPITAL LETTER J,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+004B,K,LATIN CAPITAL LETTER K,Peregrini Iluminada: desenho aprovado suavizado
U+004C,L,LATIN CAPITAL LETTER L,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+004D,M,LATIN CAPITAL LETTER M,Peregrini Iluminada: desenho aprovado suavizado
U+004E,N,LATIN CAPITAL LETTER N,Peregrini Iluminada: desenho aprovado suavizado
U+004F,O,LATIN CAPITAL LETTER O,Peregrini Iluminada: desenho aprovado suavizado
U+0050,P,LATIN CAPITAL LETTER P,Peregrini Iluminada: desenho aprovado suavizado
U+0051,Q,LATIN CAPITAL LETTER Q,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0052,R,LATIN CAPITAL LETTER R,Peregrini Iluminada: desenho aprovado suavizado
U+0053,S,LATIN CAPITAL LETTER S,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0054,T,LATIN CAPITAL LETTER T,Peregrini Iluminada: desenho aprovado suavizado
U+0055,U,LATIN CAPITAL LETTER U,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0056,V,LATIN CAPITAL LETTER V,Peregrini Iluminada: desenho aprovado suavizado
U+0057,W,LATIN CAPITAL LETTER W,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0058,X,LATIN CAPITAL LETTER X,Peregrini Iluminada: desenho aprovado suavizado
U+0059,Y,LATIN CAPITAL LETTER Y,Peregrini Iluminada: desenho aprovado suavizado
U+005A,Z,LATIN CAPITAL LETTER Z,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+00A0, ,NO-BREAK SPACE,DejaVu Serif: base vetorial licenciada
U+00C0,À,LATIN CAPITAL LETTER A WITH GRAVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+00C1,Á,LATIN CAPITAL LETTER A WITH ACUTE,Composição Unicode com base ornamental e sinais da base DejaVu
U+00C2,Â,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,Composição Unicode com base ornamental e sinais da base DejaVu
U+00C3,Ã,LATIN CAPITAL LETTER A WITH TILDE,Composição Unicode com base ornamental e sinais da base DejaVu
U+00C4,Ä,LATIN CAPITAL LETTER A WITH DIAERESIS,Composição Unicode com base ornamental e sinais da base DejaVu
U+00C5,Å,LATIN CAPITAL LETTER A WITH RING ABOVE,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+00C6,Æ,LATIN CAPITAL LETTER AE,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+00C7,Ç,LATIN CAPITAL LETTER C WITH CEDILLA,Composição Unicode com base ornamental e sinais da base DejaVu
U+00C8,È,LATIN CAPITAL LETTER E WITH GRAVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+00C9,É,LATIN CAPITAL LETTER E WITH ACUTE,Composição Unicode com base ornamental e sinais da base DejaVu
U+00CA,Ê,LATIN CAPITAL LETTER E WITH CIRCUMFLEX,Composição Unicode com base ornamental e sinais da base DejaVu
U+00CB,Ë,LATIN CAPITAL LETTER E WITH DIAERESIS,Composição Unicode com base ornamental e sinais da base DejaVu
